,Região Administrativa,CÓDIGO,ESTABELECIMENTO,ENDEREÇO,Nº,BAIRRO,CEP,FONE,lat,long
110,OESTE,24059005,ESC MUL SÃO FRANCISCO DE ASSIS,AV MIGUEL CASTRO,126,NAZARÉ,59062000,32324867.0,-29.5551357,-55.12581489999999
111,NORTE,24060283,ESC MUL IRMA ARCÃNGELA ENSINO DE 1º GRAU,RUA SÃO PEDRO,188,IRMÃ,59104270,32324828.0,-5.7704417,-35.2608574
112,NORTE,24060291,ESC MUL JOÃO PAULO II,RUA DO BAMBELO,SN,LAGOA AZUL,59139160,32324821.0,-5.730146,-35.2621087
113,NORTE,24060275,ESC MUL JORNALISTA ERIVAN FRANÇA,RUA IRMÃ VITÓRIA,264,IRMÃ,59106020,32324826.0,-5.7642923,-35.26627149999999
114,NORTE,24060305,ESC MUL MONSENHOR JOSÉ ALVES LANDIM,RUA RETIROLÂNDIA,SN,POTENGI,59120170,32324824.0,-5.753921099999999,-35.2508949
115,NORTE,24078700,ESC MUL NOSSA SRA DA APRESENTAÇÃO,AV BOA SORTE,251,"N. SRA DA 
APRESENTAÇÃO",59114250,32324845.0,-5.7533468,-35.2653676
116,NORTE,24284327,ESC MUL PROFA TEREZA SÁTSUQUI,AVENIDA MIRA MANGUE,205,PLANALTO,59073230,36420052.0,-5.8500592,-35.2538027
117,NORTE,24060682,ESC MUL NOSSA SRA DOS NAVEGANTES,RUA DO CRUZEIRO,664,REDINHA,59122050,32324838.0,-5.7488271,-35.2055764
118,NORTE,24060313,ESC MUL PROF AMADEU ARAÚJO,RUA DOS CAROAS,S/N,LAGOA AZUL,59138140,32324820.0,-5.736145100000001,-35.2649813
119,NORTE,24082635,ESC MUL PROF EUDO JOSÉ ALVES,VITÓRIA RÉGIA,115,"N. SRA DA 
APRESENTAÇÃO",59114170,32324844.0,-5.752122,-35.26701600000001
120,NORTE,24060330,ESC MUL PROF HERLY PARENTE,RUA CAPELA,SN,IRMÃ,59104420,32324827.0,-5.7703888,-35.2529428
121,NORTE,24069728,ESC MUL PROF JOSÉ DE ANDRADE FRAZÃO,AV BOA SORTE,1834,"N. SRA DA 
APRESENTAÇÃO",59114250,32328218.0,-5.7419807,-35.2764558
122,NORTE,24060356,ESC MUL PROF JOSÉ DO PRATOCÍNIO PEREIRA PINTO,AVENIDA MANGABEIRA,1905,POTENGI,59120420,32324823.0,-5.7569617,-35.2413227
123,NORTE,24284319,ESC MUL PROF JOSÉ MELQUIADES DE MACEDO,RUA DAS PEDRINHAS,237,"N. SRA DA 
APRESENTAÇÃO",59114410,32323875.0,-5.7603224,-35.2761621
124,NORTE,24080039,ESC MUL PROF LAÉRCIO FERNANDES MONTEIRO,R NOEL COSTA,1232,"N. SRA DA 
APRESENTAÇÃO",59115575,32329238.0,-5.7528508,-35.275324
125,NORTE,24074071,ESC MUL PROF REGINALDO FERREIRA NETO,RUA NOVA ESPERANÇA,SN,"N. SRA DA 
APRESENTAÇÃO",59114510,32324870.0,-5.7621277,-35.2776551
